Mbps (Media de bajada),trimestre_año
62.46,2022 T3
58.44,2022 T2
55.11,2022 T1
52.34,2021 T4
48.46,2021 T3
45.63,2021 T2
43.11,2021 T1
42.36,2020 T4
40.67,2020 T3
38.32,2020 T2
37.52,2020 T1
28.26,2019 T4
24.18,2019 T3
20.33,2019 T2
17.38,2019 T1
15.95,2018 T4
15.36,2018 T3
13.85,2018 T2
13.22,2018 T1
12.01,2017 T4
8.34,2017 T3
7.16,2017 T2
6.62,2017 T1
6.34,2016 T4
5.94,2016 T3
5.42,2016 T2
5.08,2016 T1
4.99,2015 T4
4.79,2015 T3
4.55,2015 T2
4.35,2015 T1
4.16,2014 T4
3.87,2014 T3
3.76,2014 T2
3.62,2014 T1
